Func,PSO_best,PSO_median,PSO_mean,PSO_std,CLPSO_best,CLPSO_median,CLPSO_mean,CLPSO_std,CL_SA_best,CL_SA_median,CL_SA_mean,CL_SA_std,CL_BFGS_best,CL_BFGS_median,CL_BFGS_mean,CL_BFGS_std,CL_N-M_best,CL_N-M_median,CL_N-M_mean,CL_N-M_std
F21-10D,6.133e+02,9.884e+02,1.016e+03,2.155e+02,2.401e+02,3.953e+02,3.622e+02,5.086e+01,2.211e+02,3.905e+02,3.653e+02,4.857e+01,1.468e+02,4.002e+02,3.630e+02,6.420e+01,1.318e+02,4.002e+02,3.725e+02,6.870e+01
F22-10D,1.844e+03,2.694e+03,2.669e+03,3.093e+02,2.218e+02,4.739e+02,4.893e+02,1.392e+02,6.985e+01,4.427e+02,4.711e+02,1.243e+02,8.343e+01,5.045e+02,5.139e+02,1.707e+02,4.806e+01,4.844e+02,4.791e+02,1.539e+02
F23-10D,2.008e+03,2.569e+03,2.588e+03,2.570e+02,1.484e+03,1.803e+03,1.829e+03,1.517e+02,1.200e+03,1.767e+03,1.744e+03,2.030e+02,1.291e+03,1.770e+03,1.736e+03,2.262e+02,1.032e+03,1.727e+03,1.722e+03,2.495e+02
F24-10D,2.249e+02,2.347e+02,2.349e+02,3.521e+00,1.446e+02,1.831e+02,1.860e+02,2.283e+01,1.485e+02,1.765e+02,1.813e+02,1.778e+01,1.495e+02,1.869e+02,1.882e+02,1.770e+01,1.480e+02,1.874e+02,1.897e+02,1.875e+01
F25-10D,2.027e+02,2.342e+02,2.327e+02,7.185e+00,1.514e+02,2.174e+02,2.101e+02,1.665e+01,1.464e+02,2.184e+02,2.094e+02,1.850e+01,1.663e+02,2.161e+02,2.111e+02,1.356e+01,1.592e+02,2.128e+02,2.062e+02,1.604e+01
F26-10D,2.014e+02,2.695e+02,2.737e+02,5.496e+01,1.352e+02,1.646e+02,1.639e+02,1.315e+01,1.366e+02,1.640e+02,1.656e+02,1.715e+01,1.408e+02,2.790e+02,2.791e+02,7.977e+01,1.587e+02,2.788e+02,2.705e+02,6.969e+01
F27-10D,6.188e+02,7.055e+02,7.028e+02,4.100e+01,4.073e+02,4.336e+02,4.439e+02,3.078e+01,4.055e+02,4.258e+02,4.415e+02,3.385e+01,4.066e+02,4.469e+02,5.435e+02,1.896e+02,4.057e+02,4.448e+02,5.419e+02,1.629e+02
F28-10D,1.069e+03,1.505e+03,1.516e+03,1.978e+02,2.042e+02,4.114e+02,3.979e+02,8.689e+01,1.851e+02,3.765e+02,3.667e+02,7.915e+01,1.000e+02,1.187e+03,1.100e+03,4.593e+02,1.935e+02,1.142e+03,1.013e+03,5.108e+02
F1-10D,4.599e+03,1.009e+04,1.035e+04,3.462e+03,1.208e-03,9.376e-03,1.184e-02,9.712e-03,7.801e-08,4.153e-07,8.584e-07,8.551e-07,9.550e-12,3.274e-11,4.956e-11,4.125e-11,4.889e-09,2.300e-07,1.310e+01,4.600e+01
F2-10D,2.128e+07,7.453e+07,9.383e+07,6.840e+07,1.179e+06,4.990e+06,5.261e+06,2.111e+06,1.474e+06,3.172e+06,3.367e+06,1.153e+06,1.015e-08,6.198e-06,2.485e-05,4.550e-05,7.091e+02,1.039e+05,2.582e+05,3.584e+05
