Func,PSO_best,PSO_median,PSO_mean,PSO_std,CLPSO_best,CLPSO_median,CLPSO_mean,CLPSO_std,CL_BFGS_best,CL_BFGS_median,CL_BFGS_mean,CL_BFGS_std,CL_N-M_best,CL_N-M_median,CL_N-M_mean,CL_N-M_std,CL_SA_best,CL_SA_median,CL_SA_mean,CL_SA_std
F1-10D,7.958e-12,3.639e-09,1.653e-08,3.114e-08,2.368e-03,1.215e-02,1.319e-02,8.349e-03,1.091e-11,2.967e-11,3.679e-11,2.759e-11,2.207e-09,4.587e-09,4.813e-09,1.321e-09,6.972e-03,3.431e-01,1.142e+00,1.882e+00
F2-10D,1.404e+05,2.610e+06,4.260e+06,5.010e+06,1.155e+06,4.324e+06,5.041e+06,2.614e+06,1.066e-08,2.784e-06,8.144e-06,1.387e-05,2.154e-05,2.061e-03,6.783e-02,4.039e-01,6.518e+04,1.630e+06,1.646e+06,5.953e+05
F3-10D,9.540e+03,8.130e+07,2.817e+08,4.063e+08,1.935e+08,7.132e+08,8.118e+08,4.216e+08,1.282e+03,6.429e+08,2.748e+09,1.289e+10,2.110e-02,4.532e+08,5.676e+08,4.756e+08,5.495e+07,5.617e+08,7.596e+08,5.374e+08
F4-10D,1.074e+04,4.770e+04,6.255e+04,5.263e+04,7.534e+03,1.690e+04,1.751e+04,5.407e+03,3.102e-08,4.466e-06,7.692e-06,1.033e-05,1.247e-06,2.141e-05,1.055e+02,7.386e+02,2.393e+03,5.489e+03,5.666e+03,1.598e+03
F5-10D,7.766e-07,8.841e-06,2.186e-05,2.890e-05,4.893e-02,1.958e-01,2.238e-01,1.461e-01,8.534e-09,1.340e-08,1.389e-08,3.654e-09,3.800e-08,2.059e-06,3.434e-06,3.904e-06,7.950e-01,6.705e+00,8.230e+00,5.561e+00
F6-10D,1.547e-01,6.677e+00,1.492e+01,2.395e+01,4.242e+00,1.649e+01,1.912e+01,8.663e+00,6.185e-11,1.581e-09,4.784e-01,1.295e+00,1.819e-12,4.320e-12,7.176e-01,1.532e+00,9.920e-01,1.563e+01,1.998e+01,1.599e+01
F7-10D,1.171e+01,7.429e+01,7.906e+01,4.226e+01,2.879e+01,5.487e+01,5.602e+01,1.228e+01,3.021e+01,6.075e+01,7.367e+01,3.761e+01,3.577e+01,8.199e+01,1.937e+02,4.174e+02,1.686e+01,5.125e+01,5.121e+01,1.487e+01
F8-10D,2.017e+01,2.051e+01,2.049e+01,1.033e-01,2.027e+01,2.052e+01,2.052e+01,8.720e-02,2.000e+01,2.049e+01,2.043e+01,2.043e-01,2.000e+01,2.047e+01,2.044e+01,1.685e-01,2.029e+01,2.048e+01,2.047e+01,8.623e-02
F9-10D,6.290e+00,9.701e+00,9.514e+00,1.006e+00,5.402e+00,7.259e+00,7.232e+00,7.578e-01,5.471e+00,7.948e+00,8.255e+00,1.216e+00,3.808e+00,6.855e+00,6.869e+00,1.141e+00,3.974e+00,6.376e+00,6.331e+00,1.091e+00
F10-10D,9.714e-02,6.622e-01,1.004e+00,1.029e+00,4.158e+00,2.079e+01,2.183e+01,1.132e+01,9.857e-03,3.681e-01,9.377e-01,2.335e+00,3.201e-02,1.063e+00,3.810e+00,7.402e+00,3.318e+00,8.394e+00,8.730e+00,2.999e+00
